model_id,station,AccessMode,Brd_PA,Dist_15,Dist_Med,Dist_85,Dist_Avg,Notes
v910-official__RTP_2050,12-LEHI STATION,walk,864.41,0.18,0.47,0.66,0.43015802686225296,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,13-AMERICAN FORK STATION,walk,587.0099999999999,0.42,0.49,0.49,0.45339346859508367,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,14-OREM CENTRAL STATION,walk,1152.6799999999998,0.08,0.08,0.58,0.23171704202380541,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,15-PROVO CENTRAL STATION,walk,2916.92,0.16,0.24,0.56,0.30093502735762384,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,01-OGDEN STATION,drive,2959.51,2.07,4.21,7.58,5.722395160009596,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,02-ROY STATION,drive,4278.45,2.35,4.76,11.39,6.368926129789995,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,03-CLEARFIELD STATION,drive,2407.12,1.4,3.24,4.58,3.2042875718701183,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,04-LAYTON STATION,drive,3267.0,1.41,2.52,4.18,2.791434802571166,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,05-FARMINGTON STATION,drive,2418.6600000000003,1.43,2.3,4.76,2.847502914837141,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,06-WOODS CROSS STATION,drive,3866.1,1.51,2.62,3.92,2.6995221023770726,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,07-NORTH TEMPLE STATION,drive,122.41,1.23,2.43,4.89,3.1719655256923454,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,08-SALT LAKE CENTRAL STATION,drive,308.46,1.36,2.86,8.32,4.526129806133697,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,09-MURRAY CENTRAL STATION,drive,2321.53,2.04,4.31,7.42,4.7578127786416715,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,10-SOUTH JORDAN STATION,drive,4317.52,1.81,3.27,5.87,3.8295096722192365,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,11-DRAPER STATION,drive,2611.25,2.77,4.57,8.82,5.384964901866923,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,12-LEHI STATION,drive,8285.28,2.59,6.81,13.39,7.39643362686596,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,13-AMERICAN FORK STATION,drive,4365.38,1.77,4.2,8.38,5.116091084854011,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,14-OREM CENTRAL STATION,drive,1381.59,1.69,3.11,4.74,3.2194589567092993,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,15-PROVO CENTRAL STATION,drive,970.6099999999999,1.04,1.71,2.65,1.8762561688010633,Boardings represent only direct boardings to CRT.
v910-official__RTP_2050,01-OGDEN STATION,All,486.42999999999995,0.21,0.39,0.67,0.4110827868346936,Boardings represent only direct boardings to CRT.
