STATION_ID_1,STATION_ID_2,HBC_PK_Drive,HBO_OK_Drive,HBO_PK_Drive,HBSch_OK_Drive,HBSch_PK_Drive,HBW_OK_Drive,HBW_PK_Drive,NHB_OK_Drive,NHB_PK_Drive
09-Murray Central,10-South Jordan,14.14,3.94,0.0,0.0,0.0,0.0,52.02,0.0,0.0
09-Murray Central,11-Draper,17.49,0.0,0.0,0.0,0.0,16.03,49.46,0.0,0.0
09-Murray Central,12-Lehi,95.78,18.97,43.43,0.0,0.0,58.22,161.56,0.0,0.0
09-Murray Central,13-American Fork,50.4,18.51,8.36,0.0,0.0,37.19,81.09,0.0,0.0
09-Murray Central,14-Orem Central,235.94,53.8,5.72,0.0,0.0,47.51,136.65,20.58,5.59
09-Murray Central,15-Provo Central,203.84,60.89,72.67,0.0,0.0,81.84,142.18,1.89,2.03
10-South Jordan,12-Lehi,34.01,0.0,2.51,0.0,0.0,0.0,80.45,0.0,0.0
10-South Jordan,13-American Fork,0.0,0.0,0.0,0.0,0.0,7.14,31.12,0.0,0.0
10-South Jordan,14-Orem Central,263.17,0.0,10.01,0.0,0.0,3.74,134.6,7.26,0.0
10-South Jordan,15-Provo Central,68.11,20.37,0.0,0.0,0.0,49.07,253.3,0.0,0.0
11-Draper,12-Lehi,0.0,0.0,0.0,0.0,0.0,26.7,19.41,0.0,0.0
11-Draper,13-American Fork,0.0,14.51,0.0,0.0,0.0,14.51,84.23,0.0,0.0
11-Draper,14-Orem Central,225.76,26.54,0.0,0.0,10.01,14.28,79.87,7.26,3.85
11-Draper,15-Provo Central,69.83,63.19,0.0,0.0,0.0,76.98,149.24,0.0,0.0
12-Lehi,13-American Fork,0.0,0.0,0.0,0.0,0.0,0.0,10.9,0.0,0.0
12-Lehi,14-Orem Central,28.13,0.0,8.53,0.0,0.0,14.27,45.35,0.0,0.0
12-Lehi,15-Provo Central,29.13,27.51,5.92,0.0,0.0,58.8,228.41,8.84,7.7
13-American Fork,14-Orem Central,91.14,0.0,0.0,0.0,0.0,0.0,86.25,0.0,0.0
13-American Fork,15-Provo Central,187.52,23.29,12.05,0.0,0.0,11.38,125.24,30.98,0.0
14-Orem Central,15-Provo Central,72.38,0.0,50.66,0.0,0.0,11.43,0.0,0.0,0.0
