Station,Source,Station_Sequence,Direction,Period,Boardings,Alightings,Board+Alight / 2
Provo Central Station,OBS,16-Provo Central Station,Northbound,2-Midday,544.54085,0.0,272.270425
Provo Central Station,OBS,16-Provo Central Station,Northbound,3-PM Peak,627.33641,0.0,313.668205
Provo Central Station,OBS,16-Provo Central Station,Southbound,1-AM Peak,0.0,588.21126,294.10563
Provo Central Station,OBS,16-Provo Central Station,Southbound,4-Evening,0.0,142.22087,71.110435
Provo Central Station,OBS,16-Provo Central Station,Southbound,2-Midday,0.0,812.95717,406.478585
Provo Central Station,OBS,16-Provo Central Station,Southbound,3-PM Peak,0.0,602.4991,301.24955
Roy Station,APC,02-Roy Station,Northbound,1-AM Peak,15.0,28.0,21.5
Roy Station,APC,02-Roy Station,Northbound,2-Midday,19.0,160.0,89.5
Roy Station,APC,02-Roy Station,Northbound,3-PM Peak,14.0,199.0,106.5
Roy Station,APC,02-Roy Station,Northbound,4-Evening,5.0,27.0,16.0
Roy Station,APC,02-Roy Station,Southbound,1-AM Peak,279.0,12.0,145.5
Roy Station,APC,02-Roy Station,Southbound,2-Midday,74.0,10.0,42.0
Roy Station,APC,02-Roy Station,Southbound,3-PM Peak,71.0,6.0,38.5
Roy Station,APC,02-Roy Station,Southbound,4-Evening,17.0,6.0,11.5
Roy Station,OBS,02-Roy Station,Northbound,1-AM Peak,13.34063,26.1898,19.765215
Roy Station,OBS,02-Roy Station,Northbound,4-Evening,8.61967,45.40524,27.012455
Roy Station,OBS,02-Roy Station,Northbound,2-Midday,14.00268,160.35386,87.17827
Roy Station,OBS,02-Roy Station,Northbound,3-PM Peak,0.0,200.57505,100.287525
Roy Station,OBS,02-Roy Station,Southbound,1-AM Peak,293.76198,0.0,146.88099
Roy Station,OBS,02-Roy Station,Southbound,4-Evening,9.98065,0.0,4.990325
Roy Station,OBS,02-Roy Station,Southbound,2-Midday,48.22256,23.00395,35.613255
Roy Station,OBS,02-Roy Station,Southbound,3-PM Peak,69.01668000000001,21.35531,45.185995000000005
Salt Lake Central Station,APC,09-Salt Lake Central Station,Northbound,1-AM Peak,79.0,627.0,353.0
Salt Lake Central Station,APC,09-Salt Lake Central Station,Northbound,2-Midday,233.0,183.0,208.0
Salt Lake Central Station,APC,09-Salt Lake Central Station,Northbound,3-PM Peak,317.0,203.0,260.0
Salt Lake Central Station,APC,09-Salt Lake Central Station,Northbound,4-Evening,43.0,77.0,60.0
Salt Lake Central Station,APC,09-Salt Lake Central Station,Southbound,1-AM Peak,176.0,423.0,299.5
Salt Lake Central Station,APC,09-Salt Lake Central Station,Southbound,2-Midday,256.0,130.0,193.0
Salt Lake Central Station,APC,09-Salt Lake Central Station,Southbound,3-PM Peak,350.0,101.0,225.5
Salt Lake Central Station,APC,09-Salt Lake Central Station,Southbound,4-Evening,61.0,36.0,48.5
Salt Lake Central Station,OBS,09-Salt Lake Central Station,Northbound,1-AM Peak,62.845380000000006,560.3823,311.61384
Salt Lake Central Station,OBS,09-Salt Lake Central Station,Northbound,4-Evening,39.19535,46.38096,42.788155
Salt Lake Central Station,OBS,09-Salt Lake Central Station,Northbound,2-Midday,325.26089,171.2391,248.249995
Salt Lake Central Station,OBS,09-Salt Lake Central Station,Northbound,3-PM Peak,278.77936,210.4682,244.62378
Salt Lake Central Station,OBS,09-Salt Lake Central Station,Southbound,1-AM Peak,301.68606,234.90474,268.2954
Salt Lake Central Station,OBS,09-Salt Lake Central Station,Southbound,4-Evening,94.67295,16.99604,55.834495000000004
Salt Lake Central Station,OBS,09-Salt Lake Central Station,Southbound,2-Midday,344.46264,143.97112,244.21688
Salt Lake Central Station,OBS,09-Salt Lake Central Station,Southbound,3-PM Peak,439.99906999999996,56.751400000000004,248.37523499999998
South Jordan Station,APC,11-South Jordan Station,Northbound,1-AM Peak,149.0,185.0,167.0
South Jordan Station,APC,11-South Jordan Station,Northbound,2-Midday,116.0,126.0,121.0
South Jordan Station,APC,11-South Jordan Station,Northbound,3-PM Peak,155.0,136.0,145.5
South Jordan Station,APC,11-South Jordan Station,Northbound,4-Evening,25.0,39.0,32.0
South Jordan Station,APC,11-South Jordan Station,Southbound,1-AM Peak,186.0,205.0,195.5
South Jordan Station,APC,11-South Jordan Station,Southbound,2-Midday,139.0,89.0,114.0
South Jordan Station,APC,11-South Jordan Station,Southbound,3-PM Peak,116.0,123.0,119.5
South Jordan Station,APC,11-South Jordan Station,Southbound,4-Evening,16.0,13.0,14.5
South Jordan Station,OBS,11-South Jordan Station,Northbound,1-AM Peak,148.71572,300.64677,224.681245
South Jordan Station,OBS,11-South Jordan Station,Northbound,4-Evening,9.842020000000002,42.20676,26.024390000000004
South Jordan Station,OBS,11-South Jordan Station,Northbound,2-Midday,90.78066,179.15396,134.96731
South Jordan Station,OBS,11-South Jordan Station,Northbound,3-PM Peak,148.24007,195.38074999999998,171.81041
South Jordan Station,OBS,11-South Jordan Station,Southbound,1-AM Peak,299.33912000000004,148.10532,223.72222000000002
South Jordan Station,OBS,11-South Jordan Station,Southbound,4-Evening,9.17164,23.02153,16.096584999999997
South Jordan Station,OBS,11-South Jordan Station,Southbound,2-Midday,179.36199,61.966680000000004,120.664335
South Jordan Station,OBS,11-South Jordan Station,Southbound,3-PM Peak,98.5102,129.06372,113.78696
Woods Cross Station,APC,06-Woods Cross Station,Northbound,1-AM Peak,50.0,58.0,54.0
Woods Cross Station,APC,06-Woods Cross Station,Northbound,2-Midday,68.0,128.0,98.0
Woods Cross Station,APC,06-Woods Cross Station,Northbound,3-PM Peak,63.0,170.0,116.5
Woods Cross Station,APC,06-Woods Cross Station,Northbound,4-Evening,9.0,28.0,18.5
Woods Cross Station,APC,06-Woods Cross Station,Southbound,1-AM Peak,249.0,77.0,163.0
Woods Cross Station,APC,06-Woods Cross Station,Southbound,2-Midday,85.0,53.0,69.0
Woods Cross Station,APC,06-Woods Cross Station,Southbound,3-PM Peak,65.0,34.0,49.5
Woods Cross Station,APC,06-Woods Cross Station,Southbound,4-Evening,17.0,12.0,14.5
Woods Cross Station,OBS,06-Woods Cross Station,Northbound,1-AM Peak,87.38923,46.2361,66.812665
Woods Cross Station,OBS,06-Woods Cross Station,Northbound,4-Evening,7.10426,22.99407,15.049165
Woods Cross Station,OBS,06-Woods Cross Station,Northbound,2-Midday,68.66067,119.02752,93.844095
Woods Cross Station,OBS,06-Woods Cross Station,Northbound,3-PM Peak,39.53233,93.42070000000001,66.476515
Woods Cross Station,OBS,06-Woods Cross Station,Southbound,1-AM Peak,224.03874,88.29654,156.16764
Woods Cross Station,OBS,06-Woods Cross Station,Southbound,4-Evening,9.45552,16.7449,13.10021
Woods Cross Station,OBS,06-Woods Cross Station,Southbound,2-Midday,63.75463,50.49468,57.124655000000004
Woods Cross Station,OBS,06-Woods Cross Station,Southbound,3-PM Peak,74.17567,27.48698,50.831325
